promRT_mhd23
it   t   dt    rho m1 m2 m3 e b1 b2 b3 psi tr d1 d2 d3 d4      c1 c2 c3 n1 n2 n3
    497  0.19000E+00  0.38496E-03  0.18354E+07  0.11394E-27  0.22253E+00  0.00000E+00  0.27714E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.38613E-19 -0.20032E+00  0.27706E+05  0.18001E+01  0.79663E-02  0.12397E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    523  0.20000E+00  0.38496E-03  0.18354E+07  0.13283E-27  0.22295E+00  0.00000E+00  0.27715E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.18870E-19 -0.20032E+00  0.27706E+05  0.18001E+01  0.79659E-02  0.12401E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    549  0.21000E+00  0.38496E-03  0.18355E+07  0.15130E-27  0.22334E+00  0.00000E+00  0.27715E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.27059E-19 -0.20031E+00  0.27707E+05  0.18001E+01  0.79654E-02  0.12404E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    575  0.22000E+00  0.38495E-03  0.18356E+07  0.16229E-27  0.22370E+00  0.00000E+00  0.27716E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.35146E-19 -0.20031E+00  0.27707E+05  0.18001E+01  0.79651E-02  0.12407E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    601  0.23000E+00  0.38495E-03  0.18356E+07  0.16881E-27  0.22406E+00  0.00000E+00  0.27716E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.18290E-19 -0.20030E+00  0.27708E+05  0.18001E+01  0.79647E-02  0.12409E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    627  0.24000E+00  0.38495E-03  0.18357E+07  0.18317E-27  0.22440E+00  0.00000E+00  0.27717E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.27454E-19 -0.20030E+00  0.27708E+05  0.18001E+01  0.79643E-02  0.12412E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    653  0.25000E+00  0.38495E-03  0.18358E+07  0.19934E-27  0.22474E+00  0.00000E+00  0.27717E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.12372E-19 -0.20029E+00  0.27709E+05  0.18001E+01  0.79640E-02  0.12414E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    679  0.26000E+00  0.38495E-03  0.18359E+07  0.22402E-27  0.22507E+00  0.00000E+00  0.27718E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.13698E-19 -0.20029E+00  0.27709E+05  0.18001E+01  0.79636E-02  0.12416E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    705  0.27000E+00  0.38495E-03  0.18359E+07  0.23784E-27  0.22541E+00  0.00000E+00  0.27718E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.13541E-19 -0.20028E+00  0.27710E+05  0.18001E+01  0.79632E-02  0.12419E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    731  0.28000E+00  0.38494E-03  0.18360E+07  0.25812E-27  0.22573E+00  0.00000E+00  0.27718E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.22771E-19 -0.20028E+00  0.27710E+05  0.18001E+01  0.79628E-02  0.12420E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    757  0.29000E+00  0.38494E-03  0.18361E+07  0.28298E-27  0.22601E+00  0.00000E+00  0.27719E+05  0.80000E+01  0.80000E+01  0.00000E+00 -0.42682E-21 -0.20027E+00  0.27711E+05  0.18001E+01  0.79624E-02  0.12421E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    783  0.30000E+00  0.38494E-03  0.18361E+07  0.29761E-27  0.22624E+00  0.00000E+00  0.27719E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.12586E-19 -0.20026E+00  0.27711E+05  0.18001E+01  0.79619E-02  0.12422E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    809  0.31000E+00  0.38494E-03  0.18362E+07  0.29811E-27  0.22645E+00  0.00000E+00  0.27720E+05  0.80000E+01  0.80000E+01  0.00000E+00 -0.29055E-20 -0.20026E+00  0.27711E+05  0.18001E+01  0.79615E-02  0.12422E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    835  0.32000E+00  0.38494E-03  0.18363E+07  0.29896E-27  0.22663E+00  0.00000E+00  0.27720E+05  0.80000E+01  0.80000E+01  0.00000E+00 -0.72075E-21 -0.20025E+00  0.27712E+05  0.18002E+01  0.79610E-02  0.12421E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    861  0.33000E+00  0.38494E-03  0.18363E+07  0.31300E-27  0.22679E+00  0.00000E+00  0.27720E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.26402E-19 -0.20024E+00  0.27712E+05  0.18002E+01  0.79605E-02  0.12421E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    887  0.34000E+00  0.38493E-03  0.18364E+07  0.33729E-27  0.22693E+00  0.00000E+00  0.27721E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.27603E-19 -0.20023E+00  0.27712E+05  0.18002E+01  0.79601E-02  0.12422E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    913  0.35000E+00  0.38493E-03  0.18365E+07  0.36605E-27  0.22707E+00  0.00000E+00  0.27721E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.29517E-19 -0.20023E+00  0.27713E+05  0.18002E+01  0.79596E-02  0.12423E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    939  0.36000E+00  0.38492E-03  0.18365E+07  0.37011E-27  0.22722E+00  0.00000E+00  0.27721E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.20249E-20 -0.20022E+00  0.27713E+05  0.18002E+01  0.79591E-02  0.12425E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    965  0.37000E+00  0.38492E-03  0.18366E+07  0.37457E-27  0.22740E+00  0.00000E+00  0.27722E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.79211E-20 -0.20021E+00  0.27713E+05  0.18002E+01  0.79587E-02  0.12428E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    991  0.38000E+00  0.38491E-03  0.18367E+07  0.37632E-27  0.22762E+00  0.00000E+00  0.27722E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.21910E-19 -0.20020E+00  0.27714E+05  0.18002E+01  0.79582E-02  0.12433E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1017  0.39000E+00  0.38491E-03  0.18367E+07  0.37299E-27  0.22789E+00  0.00000E+00  0.27722E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.21941E-20 -0.20019E+00  0.27714E+05  0.18002E+01  0.79578E-02  0.12440E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1043  0.40000E+00  0.38491E-03  0.18368E+07  0.36996E-27  0.22821E+00  0.00000E+00  0.27723E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.28354E-19 -0.20018E+00  0.27714E+05  0.18003E+01  0.79573E-02  0.12449E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1069  0.41000E+00  0.38490E-03  0.18369E+07  0.37322E-27  0.22857E+00  0.00000E+00  0.27723E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.19337E-19 -0.20018E+00  0.27715E+05  0.18003E+01  0.79569E-02  0.12459E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1095  0.42000E+00  0.38490E-03  0.18369E+07  0.38904E-27  0.22898E+00  0.00000E+00  0.27723E+05  0.80000E+01  0.80000E+01  0.00000E+00 -0.42399E-20 -0.20017E+00  0.27715E+05  0.18003E+01  0.79564E-02  0.12469E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1121  0.43000E+00  0.38490E-03  0.18370E+07  0.41294E-27  0.22940E+00  0.00000E+00  0.27724E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.36484E-19 -0.20016E+00  0.27715E+05  0.18003E+01  0.79559E-02  0.12480E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1147  0.44000E+00  0.38490E-03  0.18371E+07  0.44649E-27  0.22982E+00  0.00000E+00  0.27724E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.13684E-19 -0.20015E+00  0.27716E+05  0.18003E+01  0.79555E-02  0.12491E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1173  0.45000E+00  0.38490E-03  0.18371E+07  0.47289E-27  0.23024E+00  0.00000E+00  0.27724E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.32893E-19 -0.20014E+00  0.27716E+05  0.18003E+01  0.79550E-02  0.12502E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1199  0.46000E+00  0.38490E-03  0.18372E+07  0.50256E-27  0.23065E+00  0.00000E+00  0.27725E+05  0.80000E+01  0.80000E+01  0.00000E+00 -0.14682E-19 -0.20013E+00  0.27716E+05  0.18003E+01  0.79545E-02  0.12513E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1225  0.47000E+00  0.38491E-03  0.18373E+07  0.53025E-27  0.23104E+00  0.00000E+00  0.27725E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.87714E-20 -0.20012E+00  0.27717E+05  0.18003E+01  0.79540E-02  0.12522E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1251  0.48000E+00  0.38491E-03  0.18373E+07  0.56243E-27  0.23141E+00  0.00000E+00  0.27725E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.32028E-19 -0.20011E+00  0.27717E+05  0.18003E+01  0.79535E-02  0.12532E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1277  0.49000E+00  0.38491E-03  0.18374E+07  0.60924E-27  0.23178E+00  0.00000E+00  0.27725E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.19426E-19 -0.20010E+00  0.27717E+05  0.18002E+01  0.79530E-02  0.12541E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1303  0.50000E+00  0.38491E-03  0.18374E+07  0.64380E-27  0.23212E+00  0.00000E+00  0.27726E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.26637E-19 -0.20008E+00  0.27717E+05  0.18002E+01  0.79525E-02  0.12549E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1329  0.51000E+00  0.38491E-03  0.18375E+07  0.66445E-27  0.23245E+00  0.00000E+00  0.27726E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.32735E-19 -0.20007E+00  0.27718E+05  0.18002E+01  0.79521E-02  0.12557E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1355  0.52000E+00  0.38491E-03  0.18376E+07  0.68203E-27  0.23277E+00  0.00000E+00  0.27726E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.22462E-20 -0.20006E+00  0.27718E+05  0.18002E+01  0.79516E-02  0.12564E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1381  0.53000E+00  0.38491E-03  0.18376E+07  0.70453E-27  0.23307E+00  0.00000E+00  0.27727E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.53479E-19 -0.20005E+00  0.27718E+05  0.18002E+01  0.79511E-02  0.12572E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1407  0.54000E+00  0.38491E-03  0.18377E+07  0.71524E-27  0.23337E+00  0.00000E+00  0.27727E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.11320E-19 -0.20003E+00  0.27719E+05  0.18002E+01  0.79506E-02  0.12579E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1433  0.55000E+00  0.38491E-03  0.18378E+07  0.72646E-27  0.23366E+00  0.00000E+00  0.27727E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.10306E-20 -0.20002E+00  0.27719E+05  0.18002E+01  0.79501E-02  0.12586E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1459  0.56000E+00  0.38491E-03  0.18378E+07  0.75799E-27  0.23395E+00  0.00000E+00  0.27727E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.46768E-19 -0.20000E+00  0.27719E+05  0.18002E+01  0.79496E-02  0.12593E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1485  0.57000E+00  0.38491E-03  0.18379E+07  0.79205E-27  0.23424E+00  0.00000E+00  0.27727E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.32128E-19 -0.19999E+00  0.27719E+05  0.18001E+01  0.79492E-02  0.12599E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1511  0.58000E+00  0.38491E-03  0.18380E+07  0.80866E-27  0.23452E+00  0.00000E+00  0.27728E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.10207E-19 -0.19998E+00  0.27719E+05  0.18001E+01  0.79487E-02  0.12606E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1537  0.59000E+00  0.38491E-03  0.18380E+07  0.82591E-27  0.23480E+00  0.00000E+00  0.27728E+05  0.80000E+01  0.80000E+01  0.00000E+00 -0.47083E-20 -0.19996E+00  0.27720E+05  0.18001E+01  0.79482E-02  0.12613E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1563  0.60000E+00  0.38490E-03  0.18381E+07  0.85180E-27  0.23509E+00  0.00000E+00  0.27728E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.28526E-19 -0.19995E+00  0.27720E+05  0.18001E+01  0.79478E-02  0.12621E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1589  0.61000E+00  0.38490E-03  0.18381E+07  0.89145E-27  0.23538E+00  0.00000E+00  0.27728E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.57353E-19 -0.19993E+00  0.27720E+05  0.18001E+01  0.79473E-02  0.12628E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1615  0.62000E+00  0.38490E-03  0.18382E+07  0.93344E-27  0.23567E+00  0.00000E+00  0.27729E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.26804E-19 -0.19991E+00  0.27720E+05  0.18002E+01  0.79469E-02  0.12635E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1641  0.63000E+00  0.38490E-03  0.18383E+07  0.96909E-27  0.23597E+00  0.00000E+00  0.27729E+05  0.80000E+01  0.80000E+01  0.00000E+00 -0.76251E-20 -0.19990E+00  0.27721E+05  0.18002E+01  0.79464E-02  0.12643E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1667  0.64000E+00  0.38490E-03  0.18383E+07  0.99798E-27  0.23627E+00  0.00000E+00  0.27729E+05  0.80000E+01  0.80000E+01  0.00000E+00 -0.14687E-19 -0.19988E+00  0.27721E+05  0.18002E+01  0.79460E-02  0.12651E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1693  0.65000E+00  0.38491E-03  0.18384E+07  0.10520E-26  0.23658E+00  0.00000E+00  0.27729E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.36590E-19 -0.19987E+00  0.27721E+05  0.18002E+01  0.79456E-02  0.12659E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1719  0.66000E+00  0.38491E-03  0.18384E+07  0.11061E-26  0.23689E+00  0.00000E+00  0.27729E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.17311E-19 -0.19985E+00  0.27721E+05  0.18002E+01  0.79451E-02  0.12668E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1745  0.67000E+00  0.38491E-03  0.18385E+07  0.11411E-26  0.23721E+00  0.00000E+00  0.27730E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.43949E-20 -0.19983E+00  0.27721E+05  0.18002E+01  0.79447E-02  0.12676E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1771  0.68000E+00  0.38491E-03  0.18386E+07  0.11539E-26  0.23753E+00  0.00000E+00  0.27730E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.40679E-19 -0.19982E+00  0.27722E+05  0.18002E+01  0.79443E-02  0.12685E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1797  0.69000E+00  0.38491E-03  0.18386E+07  0.11509E-26  0.23786E+00  0.00000E+00  0.27730E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.21202E-19 -0.19980E+00  0.27722E+05  0.18002E+01  0.79439E-02  0.12694E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1823  0.70000E+00  0.38491E-03  0.18387E+07  0.11428E-26  0.23818E+00  0.00000E+00  0.27730E+05  0.80000E+01  0.80000E+01  0.00000E+00 -0.15615E-20 -0.19978E+00  0.27722E+05  0.18002E+01  0.79434E-02  0.12703E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1849  0.71000E+00  0.38491E-03  0.18387E+07  0.11316E-26  0.23851E+00  0.00000E+00  0.27730E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.19405E-19 -0.19977E+00  0.27722E+05  0.18002E+01  0.79430E-02  0.12712E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1875  0.72000E+00  0.38491E-03  0.18388E+07  0.11339E-26  0.23883E+00  0.00000E+00  0.27731E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.15442E-19 -0.19975E+00  0.27722E+05  0.18002E+01  0.79426E-02  0.12721E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1901  0.73000E+00  0.38491E-03  0.18389E+07  0.11513E-26  0.23915E+00  0.00000E+00  0.27731E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.18743E-19 -0.19973E+00  0.27723E+05  0.18002E+01  0.79422E-02  0.12729E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1927  0.74000E+00  0.38491E-03  0.18389E+07  0.11486E-26  0.23946E+00  0.00000E+00  0.27731E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.25072E-20 -0.19972E+00  0.27723E+05  0.18002E+01  0.79418E-02  0.12738E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1953  0.75000E+00  0.38491E-03  0.18390E+07  0.11306E-26  0.23977E+00  0.00000E+00  0.27731E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.46810E-20 -0.19970E+00  0.27723E+05  0.18002E+01  0.79414E-02  0.12746E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1979  0.76000E+00  0.38491E-03  0.18390E+07  0.11173E-26  0.24007E+00  0.00000E+00  0.27731E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.24502E-19 -0.19968E+00  0.27723E+05  0.18002E+01  0.79409E-02  0.12754E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   2005  0.77000E+00  0.38491E-03  0.18391E+07  0.11225E-26  0.24037E+00  0.00000E+00  0.27732E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.83018E-20 -0.19966E+00  0.27723E+05  0.18002E+01  0.79402E-02  0.12762E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   2031  0.78000E+00  0.38491E-03  0.18392E+07  0.11448E-26  0.24066E+00  0.00000E+00  0.27732E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.57777E-19 -0.19965E+00  0.27723E+05  0.18002E+01  0.79396E-02  0.12770E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   2057  0.79000E+00  0.38492E-03  0.18392E+07  0.11865E-26  0.24095E+00  0.00000E+00  0.27732E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.24637E-19 -0.19963E+00  0.27724E+05  0.18002E+01  0.79390E-02  0.12777E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   2083  0.80000E+00  0.38492E-03  0.18393E+07  0.12461E-26  0.24123E+00  0.00000E+00  0.27732E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.13153E-19 -0.19961E+00  0.27724E+05  0.18003E+01  0.79384E-02  0.12785E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   2109  0.81000E+00  0.38492E-03  0.18393E+07  0.13077E-26  0.24151E+00  0.00000E+00  0.27732E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.16954E-19 -0.19959E+00  0.27724E+05  0.18003E+01  0.79378E-02  0.12792E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   2135  0.82000E+00  0.38492E-03  0.18394E+07  0.13711E-26  0.24178E+00  0.00000E+00  0.27732E+05  0.80000E+01  0.80000E+01  0.00000E+00 -0.78918E-20 -0.19957E+00  0.27724E+05  0.18003E+01  0.79372E-02  0.12800E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   2161  0.83000E+00  0.38492E-03  0.18394E+07  0.14456E-26  0.24205E+00  0.00000E+00  0.27732E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.23768E-19 -0.19956E+00  0.27724E+05  0.18003E+01  0.79366E-02  0.12807E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   2187  0.84000E+00  0.38492E-03  0.18395E+07  0.15237E-26  0.24232E+00  0.00000E+00  0.27733E+05  0.80000E+01  0.80000E+01  0.00000E+00  0.15601E-19 -0.19954E+00  0.27724E+05  0.18003E+01  0.79361E-02  0.12814E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
