promRT_mhd23
it   t   dt    rho m1 m2 m3 e b1 b2 b3 psi tr d1 d2 d3 d4      c1 c2 c3 n1 n2 n3
    497  0.19000E+00  0.38477E-03  0.18354E+07  0.15346E-27  0.22252E+00  0.13947E-34  0.27714E+05  0.80047E+01  0.31195E-33  0.79997E+01  0.46118E-23 -0.20032E+00  0.27706E+05  0.18001E+01  0.79663E-02  0.12396E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    523  0.20000E+00  0.38477E-03  0.18354E+07  0.17703E-27  0.22295E+00  0.16917E-34  0.27715E+05  0.80046E+01  0.36511E-33  0.79996E+01 -0.17473E-21 -0.20032E+00  0.27706E+05  0.18001E+01  0.79659E-02  0.12401E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    549  0.21000E+00  0.38476E-03  0.18355E+07  0.19436E-27  0.22333E+00  0.20117E-34  0.27715E+05  0.80046E+01  0.42651E-33  0.79996E+01 -0.12511E-21 -0.20031E+00  0.27707E+05  0.18001E+01  0.79655E-02  0.12404E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    575  0.22000E+00  0.38476E-03  0.18356E+07  0.21207E-27  0.22370E+00  0.23781E-34  0.27716E+05  0.80046E+01  0.48653E-33  0.79996E+01 -0.14294E-21 -0.20031E+00  0.27707E+05  0.18001E+01  0.79651E-02  0.12407E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    601  0.23000E+00  0.38476E-03  0.18356E+07  0.23601E-27  0.22405E+00  0.27637E-34  0.27716E+05  0.80046E+01  0.53642E-33  0.79996E+01 -0.90772E-22 -0.20030E+00  0.27708E+05  0.18001E+01  0.79647E-02  0.12409E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    627  0.24000E+00  0.38476E-03  0.18357E+07  0.25832E-27  0.22439E+00  0.32416E-34  0.27717E+05  0.80045E+01  0.58454E-33  0.79995E+01 -0.43659E-22 -0.20030E+00  0.27708E+05  0.18001E+01  0.79643E-02  0.12411E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    653  0.25000E+00  0.38476E-03  0.18358E+07  0.27861E-27  0.22473E+00  0.37894E-34  0.27717E+05  0.80045E+01  0.63250E-33  0.79995E+01 -0.17006E-21 -0.20029E+00  0.27709E+05  0.18001E+01  0.79640E-02  0.12414E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    679  0.26000E+00  0.38475E-03  0.18359E+07  0.29479E-27  0.22507E+00  0.43667E-34  0.27718E+05  0.80045E+01  0.69138E-33  0.79995E+01 -0.20820E-21 -0.20029E+00  0.27709E+05  0.18001E+01  0.79636E-02  0.12416E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    705  0.27000E+00  0.38475E-03  0.18359E+07  0.30288E-27  0.22541E+00  0.50348E-34  0.27718E+05  0.80045E+01  0.76644E-33  0.79995E+01 -0.17959E-21 -0.20028E+00  0.27710E+05  0.18001E+01  0.79632E-02  0.12419E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    731  0.28000E+00  0.38475E-03  0.18360E+07  0.30679E-27  0.22573E+00  0.58063E-34  0.27718E+05  0.80044E+01  0.82516E-33  0.79994E+01 -0.66537E-22 -0.20028E+00  0.27710E+05  0.18001E+01  0.79628E-02  0.12420E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    757  0.29000E+00  0.38475E-03  0.18361E+07  0.32538E-27  0.22600E+00  0.66411E-34  0.27719E+05  0.80044E+01  0.86285E-33  0.79994E+01 -0.99751E-22 -0.20027E+00  0.27711E+05  0.18001E+01  0.79624E-02  0.12421E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    783  0.30000E+00  0.38475E-03  0.18361E+07  0.34364E-27  0.22624E+00  0.75258E-34  0.27719E+05  0.80044E+01  0.91148E-33  0.79994E+01 -0.99299E-22 -0.20026E+00  0.27711E+05  0.18001E+01  0.79619E-02  0.12422E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
    809  0.31000E+00  0.38475E-03  0.18362E+07  0.35921E-27  0.22645E+00  0.84849E-34  0.27720E+05  0.80044E+01  0.97222E-33  0.79994E+01 -0.22463E-21 -0.20026E+00  0.27711E+05  0.18001E+01  0.79615E-02  0.12422E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
