promRT_mhd23
it   t   dt    rho m1 m2 m3 e b1 b2 b3 psi tr d1 d2 d3 d4      c1 c2 c3 n1 n2 n3
      0  0.00000E+00  0.73128E-04  0.18340E+07  0.66684E-30  0.22237E-34  0.00000E+00  0.27701E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.00000E+00 -0.20000E+00  0.27689E+05  0.18000E+01  0.80000E-02  0.69163E-15  0.85333E+00  0.77778E-01  0.68889E-01   192    70   248promRT_mhd23
it   t   dt    rho m1 m2 m3 e b1 b2 b3 psi tr d1 d2 d3 d4      c1 c2 c3 n1 n2 n3
      0  0.00000E+00  0.73128E-04  0.18340E+07  0.66684E-30  0.22237E-34  0.00000E+00  0.27701E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.00000E+00 -0.20000E+00  0.27689E+05  0.18000E+01  0.80000E-02  0.69163E-15  0.85333E+00  0.77778E-01  0.68889E-01   192    70   248
     29  0.10000E-01  0.38488E-03  0.18343E+07  0.27769E-03  0.29682E-01  0.00000E+00  0.27704E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.88027E-09 -0.19946E+00  0.27691E+05  0.18000E+01  0.65446E-02  0.59544E-02  0.85333E+00  0.77778E-01  0.68889E-01   192    70   248
     55  0.20000E-01  0.38488E-03  0.18346E+07  0.17417E-02  0.78293E-01  0.00000E+00  0.27706E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.32663E-08 -0.19911E+00  0.27693E+05  0.18000E+01  0.59423E-02  0.75645E-02  0.85333E+00  0.77778E-01  0.68889E-01   192    70   248
     81  0.30000E-01  0.38488E-03  0.18349E+07  0.48777E-02  0.13466E+00  0.00000E+00  0.27708E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.65303E-08 -0.19881E+00  0.27695E+05  0.18000E+01  0.55072E-02  0.88954E-02  0.85333E+00  0.77778E-01  0.68889E-01   192    70   248
    107  0.40000E-01  0.38488E-03  0.18351E+07  0.10884E-01  0.18959E+00  0.00000E+00  0.27710E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.77620E-08 -0.19856E+00  0.27698E+05  0.18000E+01  0.51830E-02  0.10032E-01  0.85333E+00  0.77778E-01  0.68889E-01   192    70   248
    133  0.50000E-01  0.38487E-03  0.18354E+07  0.20664E-01  0.23865E+00  0.00000E+00  0.27713E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.10005E-07 -0.19832E+00  0.27700E+05  0.18000E+01  0.49398E-02  0.10414E-01  0.85333E+00  0.77778E-01  0.68889E-01   192    70   248
    159  0.60000E-01  0.38487E-03  0.18356E+07  0.33287E-01  0.28180E+00  0.00000E+00  0.27715E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.17296E-07 -0.19810E+00  0.27702E+05  0.18000E+01  0.47546E-02  0.10635E-01  0.85333E+00  0.77778E-01  0.68889E-01   192    70   248
    185  0.70000E-01  0.38487E-03  0.18358E+07  0.47311E-01  0.31979E+00  0.00000E+00  0.27717E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.27148E-07 -0.19789E+00  0.27704E+05  0.18000E+01  0.46203E-02  0.10827E-01  0.85333E+00  0.77778E-01  0.68889E-01   192    70   248
    211  0.80000E-01  0.38487E-03  0.18360E+07  0.61645E-01  0.35328E+00  0.00000E+00  0.27719E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.31494E-07 -0.19767E+00  0.27706E+05  0.18000E+01  0.45272E-02  0.10980E-01  0.85333E+00  0.77778E-01  0.68889E-01   192    70   248
    237  0.90000E-01  0.38487E-03  0.18362E+07  0.75529E-01  0.38286E+00  0.00000E+00  0.27721E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.34110E-07 -0.19746E+00  0.27708E+05  0.18000E+01  0.44560E-02  0.11111E-01  0.85333E+00  0.77778E-01  0.68889E-01   192    70   248
    263  0.10000E+00  0.38487E-03  0.18364E+07  0.88565E-01  0.40902E+00  0.00000E+00  0.27723E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.37179E-07 -0.19726E+00  0.27710E+05  0.18001E+01  0.43963E-02  0.11234E-01  0.85333E+00  0.77778E-01  0.68889E-01   192    70   248promRT_mhd23
it   t   dt    rho m1 m2 m3 e b1 b2 b3 psi tr d1 d2 d3 d4      c1 c2 c3 n1 n2 n3
      0  0.00000E+00  0.73128E-04  0.18340E+07  0.66684E-30  0.22237E-34  0.00000E+00  0.27701E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.00000E+00 -0.20000E+00  0.27689E+05  0.18000E+01  0.80000E-02  0.69163E-15  0.85333E+00  0.77778E-01  0.68889E-01   192    70   248
     29  0.10000E-01  0.38488E-03  0.18343E+07  0.27769E-03  0.29682E-01  0.00000E+00  0.27704E+05  0.12530E+02  0.12530E+02  0.00000E+00  0.88027E-09 -0.19946E+00  0.27691E+05  0.18000E+01  0.65446E-02  0.59544E-02  0.85333E+00  0.77778E-01  0.68889E-01   192    70   248
